A2BBX6,A,B1,nB1,B2,nB2,X
Cs2ZnEuCl6,Cs,Zn,2,Eu,2,Cl
Cs2NaErCl6,Cs,Na,1,Er,3,Cl
Cs2FeRbCl6,Cs,Fe,3,Rb,1,Cl
Cs2CoAmCl6,Cs,Co,2,Am,2,Cl
Cs2AgCmCl6,Cs,Ag,1,Cm,3,Cl
Cs2CdEuCl6,Cs,Cd,2,Eu,2,Cl
Cs2GaTlCl6,Cs,Ga,3,Tl,1,Cl
Cs2SrAgCl6,Cs,Sr,2,Ag,2,Cl
Cs2YbNpCl6,Cs,Yb,2,Np,2,Cl
Cs2AgPmCl6,Cs,Ag,1,Pm,3,Cl
Cs2AlAuCl6,Cs,Al,3,Au,1,Cl
Cs2FeAmCl6,Cs,Fe,2,Am,2,Cl
Cs2NaTlCl6,Cs,Na,1,Tl,3,Cl
Cs2KScCl6,Cs,K,1,Sc,3,Cl
Cs2AgAmCl6,Cs,Ag,1,Am,3,Cl
Cs2NiAmCl6,Cs,Ni,2,Am,2,Cl
Cs2PtNpCl6,Cs,Pt,2,Np,2,Cl
Cs2AgAgCl6,Cs,Ag,1,Ag,3,Cl
Cs2GeEuCl6,Cs,Ge,2,Eu,2,Cl
Cs2MgSrCl6,Cs,Mg,2,Sr,2,Cl
Cs2NaTmCl6,Cs,Na,1,Tm,3,Cl
Cs2GdHgCl6,Cs,Gd,3,Hg,1,Cl
Cs2AgPbCl6,Cs,Ag,2,Pb,2,Cl
Cs2SrCdCl6,Cs,Sr,2,Cd,2,Cl
Cs2TmNpCl6,Cs,Tm,2,Np,2,Cl
Cs2SbAuCl6,Cs,Sb,3,Au,1,Cl
Cs2KAgCl6,Cs,K,1,Ag,3,Cl
Cs2ScAgCl6,Cs,Sc,3,Ag,1,Cl
Cs2MnRbCl6,Cs,Mn,3,Rb,1,Cl
Cs2AgNdCl6,Cs,Ag,1,Nd,3,Cl
Cs2CrRbCl6,Cs,Cr,3,Rb,1,Cl
Cs2MgEuCl6,Cs,Mg,2,Eu,2,Cl
Cs2CuAcCl6,Cs,Cu,1,Ac,3,Cl
Cs2VNpCl6,Cs,V,2,Np,2,Cl
Cs2AgCdCl6,Cs,Ag,2,Cd,2,Cl
Cs2TiTmCl6,Cs,Ti,2,Tm,2,Cl
Cs2EuHgCl6,Cs,Eu,3,Hg,1,Cl
Cs2NaYbCl6,Cs,Na,1,Yb,3,Cl
Cs2CoPbCl6,Cs,Co,2,Pb,2,Cl
Cs2VTlCl6,Cs,V,3,Tl,1,Cl
Cs2GaRbCl6,Cs,Ga,3,Rb,1,Cl
Cs2KPdCl6,Cs,K,1,Pd,3,Cl
Cs2KSbCl6,Cs,K,1,Sb,3,Cl
Cs2AgPrCl6,Cs,Ag,1,Pr,3,Cl
Cs2VBaCl6,Cs,V,2,Ba,2,Cl
Cs2NaAcCl6,Cs,Na,1,Ac,3,Cl
Cs2CdPbCl6,Cs,Cd,2,Pb,2,Cl
Cs2FePbCl6,Cs,Fe,2,Pb,2,Cl
Cs2NaLuCl6,Cs,Na,1,Lu,3,Cl
Cs2TiYbCl6,Cs,Ti,2,Yb,2,Cl
Cs2ThCl6,Cs,Th,4,Vac,0,Cl
Cs2PoCl6,Cs,Po,4,Vac,0,Cl
Cs2LiAcCl6,Cs,Li,1,Ac,3,Cl
Cs2MoHgCl6,Cs,Mo,3,Hg,1,Cl
Cs2NiPbCl6,Cs,Ni,2,Pb,2,Cl
Cs2SmHgCl6,Cs,Sm,3,Hg,1,Cl
Cs2CoSrCl6,Cs,Co,2,Sr,2,Cl
Cs2TiNdCl6,Cs,Ti,2,Nd,2,Cl
Cs2BaPtCl6,Cs,Ba,2,Pt,2,Cl
Cs2AgPuCl6,Cs,Ag,1,Pu,3,Cl
Cs2FeSrCl6,Cs,Fe,2,Sr,2,Cl
Cs2AgTaCl6,Cs,Ag,1,Ta,3,Cl
Cs2NbAgCl6,Cs,Nb,3,Ag,1,Cl
Cs2DyPtCl6,Cs,Dy,2,Pt,2,Cl
Cs2IrHgCl6,Cs,Ir,3,Hg,1,Cl
Cs2RuHgCl6,Cs,Ru,3,Hg,1,Cl
Cs2NaAuCl6,Cs,Na,1,Au,3,Cl
Cs2NiSrCl6,Cs,Ni,2,Sr,2,Cl
Cs2CoEuCl6,Cs,Co,2,Eu,2,Cl
Cs2AgCeCl6,Cs,Ag,1,Ce,3,Cl
Cs2CdAmCl6,Cs,Cd,2,Am,2,Cl
Cs2VRbCl6,Cs,V,3,Rb,1,Cl
Cs2HgCmCl6,Cs,Hg,1,Cm,3,Cl
Cs2AgNpCl6,Cs,Ag,1,Np,3,Cl
Cs2PmHgCl6,Cs,Pm,3,Hg,1,Cl
Cs2FeEuCl6,Cs,Fe,2,Eu,2,Cl
Cs2CrNpCl6,Cs,Cr,2,Np,2,Cl
Cs2RhTlCl6,Cs,Rh,3,Tl,1,Cl
Cs2HgAmCl6,Cs,Hg,1,Am,3,Cl
Cs2VDyCl6,Cs,V,2,Dy,2,Cl
Cs2CaTiCl6,Cs,Ca,2,Ti,2,Cl
Cs2NiEuCl6,Cs,Ni,2,Eu,2,Cl
Cs2CaPdCl6,Cs,Ca,2,Pd,2,Cl
Cs2TiHgCl6,Cs,Ti,3,Hg,1,Cl
Cs2RhHgCl6,Cs,Rh,3,Hg,1,Cl
Cs2DyNpCl6,Cs,Dy,2,Np,2,Cl
Cs2InAuCl6,Cs,In,3,Au,1,Cl
Cs2TiTlCl6,Cs,Ti,3,Tl,1,Cl
Cs2NiRaCl6,Cs,Ni,2,Ra,2,Cl
Cs2CaEuCl6,Cs,Ca,2,Eu,2,Cl
Cs2CdSmCl6,Cs,Cd,2,Sm,2,Cl
Cs2NdHgCl6,Cs,Nd,3,Hg,1,Cl
Cs2MnNpCl6,Cs,Mn,2,Np,2,Cl
Cs2AgUCl6,Cs,Ag,1,U,3,Cl
Cs2FeRaCl6,Cs,Fe,2,Ra,2,Cl
Cs2CoRaCl6,Cs,Co,2,Ra,2,Cl
Cs2AgBiCl6,Cs,Ag,1,Bi,3,Cl
Cs2IrTlCl6,Cs,Ir,3,Tl,1,Cl
Cs2PrHgCl6,Cs,Pr,3,Hg,1,Cl
Cs2RuTlCl6,Cs,Ru,3,Tl,1,Cl
Cs2CaSrCl6,Cs,Ca,2,Sr,2,Cl
Cs2KInCl6,Cs,K,1,In,3,Cl
Cs2AgLaCl6,Cs,Ag,1,La,3,Cl
Cs2MoAgCl6,Cs,Mo,3,Ag,1,Cl
Cs2ZnNpCl6,Cs,Zn,2,Np,2,Cl
Cs2RbRhCl6,Cs,Rb,1,Rh,3,Cl
Cs2CrDyCl6,Cs,Cr,2,Dy,2,Cl
Cs2AgPaCl6,Cs,Ag,1,Pa,3,Cl
Cs2CaPbCl6,Cs,Ca,2,Pb,2,Cl
Cs2MoTlCl6,Cs,Mo,3,Tl,1,Cl
Cs2TiRbCl6,Cs,Ti,3,Rb,1,Cl
Cs2HgPuCl6,Cs,Hg,1,Pu,3,Cl
Cs2EuYbCl6,Cs,Eu,2,Yb,2,Cl
Cs2GeNpCl6,Cs,Ge,2,Np,2,Cl
Cs2TmPtCl6,Cs,Tm,2,Pt,2,Cl
Cs2AgIrCl6,Cs,Ag,1,Ir,3,Cl
Cs2VHgCl6,Cs,V,3,Hg,1,Cl
Cs2RuAgCl6,Cs,Ru,3,Ag,1,Cl
Cs2HgNpCl6,Cs,Hg,1,Np,3,Cl
Cs2MgRaCl6,Cs,Mg,2,Ra,2,Cl
Cs2SrHgCl6,Cs,Sr,2,Hg,2,Cl
Cs2RbIrCl6,Cs,Rb,1,Ir,3,Cl
Cs2EuTmCl6,Cs,Eu,2,Tm,2,Cl
