comp_name,A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau,NotSim
CsLiLuCl,Cs2LiLuCl6,Cs,Li,Lu,Cl,1,1,3,-1,188.0,76.0,86.1,81.05,181.0,3.990050312812292,False
CsLiLuBr,Cs2LiLuBr6,Cs,Li,Lu,Br,1,1,3,-1,188.0,76.0,86.1,81.05,196.0,4.175121256674106,False
CsLiTaF,Cs2LiTaF6,Cs,Li,Ta,F,1,1,3,-1,188.0,76.0,72.0,74.0,133.0,3.5220973468311483,False
CsLiTaCl,Cs2LiTaCl6,Cs,Li,Ta,Cl,1,1,3,-1,188.0,76.0,72.0,74.0,181.0,4.1707459954797965,False
CsLiIrF,Cs2LiIrF6,Cs,Li,Ir,F,1,1,3,-1,188.0,76.0,68.0,72.0,133.0,3.567764865528653,False
CsLiAuF,Cs2LiAuF6,Cs,Li,Au,F,1,1,3,-1,188.0,76.0,85.0,80.5,133.0,3.405587775407976,False
CsLiAuCl,Cs2LiAuCl6,Cs,Li,Au,Cl,1,1,3,-1,188.0,76.0,85.0,80.5,181.0,4.001861067333442,False
CsLiTlF,Cs2LiTlF6,Cs,Li,Tl,F,1,1,3,-1,188.0,76.0,88.5,82.25,133.0,3.381958411605101,False
CsLiTlCl,Cs2LiTlCl6,Cs,Li,Tl,Cl,1,1,3,-1,188.0,76.0,88.5,82.25,181.0,3.9655450377449193,False
CsLiTlBr,Cs2LiTlBr6,Cs,Li,Tl,Br,1,1,3,-1,188.0,76.0,88.5,82.25,196.0,4.147915858413612,False
CsLiBiF,Cs2LiBiF6,Cs,Li,Bi,F,1,1,3,-1,188.0,76.0,103.0,89.5,133.0,3.3161995306009606,False
CsLiBiCl,Cs2LiBiCl6,Cs,Li,Bi,Cl,1,1,3,-1,188.0,76.0,103.0,89.5,181.0,3.852512379762972,False
CsLiBiBr,Cs2LiBiBr6,Cs,Li,Bi,Br,1,1,3,-1,188.0,76.0,103.0,89.5,196.0,4.0201101451261,False
CsLiAcF,Cs2LiAcF6,Cs,Li,Ac,F,1,1,3,-1,188.0,76.0,112.0,94.0,133.0,3.300283698799204,False
CsLiAcCl,Cs2LiAcCl6,Cs,Li,Ac,Cl,1,1,3,-1,188.0,76.0,112.0,94.0,181.0,3.810921996671544,False
CsLiAcBr,Cs2LiAcBr6,Cs,Li,Ac,Br,1,1,3,-1,188.0,76.0,112.0,94.0,196.0,3.9704964647566494,False
CsLiThF,Cs2LiThF6,Cs,Li,Th,F,1,1,3,-1,188.0,76.0,120.9,98.45,133.0,3.30289346511452,False
