A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau
Li2BeNpBr6,Li,Be,Np,Br,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,196.0,8.45044989967309
Li2BeNpI6,Li,Be,Np,I,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,220.00000000000003,8.76012731902793
Li2BeAmF6,Li,Be,Am,F,1,2,2,-1,92.0,45.0,121.0,83.0,133.0,11.369341157346287
Li2BeAmCl6,Li,Be,Am,Cl,1,2,2,-1,92.0,45.0,121.0,83.0,181.0,11.947654410358336
Li2BeAmBr6,Li,Be,Am,Br,1,2,2,-1,92.0,45.0,121.0,83.0,196.0,12.128377301924601
Li2BeAmI6,Li,Be,Am,I,1,2,2,-1,92.0,45.0,121.0,83.0,220.00000000000003,12.417533928430625
Li2BeNoF6,Li,Be,No,F,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,133.0,7.637546673866638
Li2BeNoCl6,Li,Be,No,Cl,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,181.0,8.256901512576317
Li2BeNoBr6,Li,Be,No,Br,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,196.0,8.45044989967309
Li2BeNoI6,Li,Be,No,I,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,220.00000000000003,8.76012731902793
Li2BNaF6,Li,B,Na,F,1,3,1,-1,92.0,27.0,102.0,64.5,133.0,5.0785257561711745
Li2BNaCl6,Li,B,Na,Cl,1,3,1,-1,92.0,27.0,102.0,64.5,181.0,5.822711802682802
Li2BNaBr6,Li,B,Na,Br,1,3,1,-1,92.0,27.0,102.0,64.5,196.0,6.055269942217686
Li2BNaI6,Li,B,Na,I,1,3,1,-1,92.0,27.0,102.0,64.5,220.00000000000003,6.427362965473501
Li2BKF6,Li,B,K,F,1,3,1,-1,92.0,27.0,138.0,82.5,133.0,10.84378111067708
Li2BKCl6,Li,B,K,Cl,1,3,1,-1,92.0,27.0,138.0,82.5,181.0,11.425599292495262
Li2BKBr6,Li,B,K,Br,1,3,1,-1,92.0,27.0,138.0,82.5,196.0,11.607417474313444
Li2BKI6,Li,B,K,I,1,3,1,-1,92.0,27.0,138.0,82.5,220.00000000000003,11.898326565222536
Li2BCuF6,Li,B,Cu,F,1,3,1,-1,92.0,27.0,77.0,52.0,133.0,4.6586417649928675
Li2BCuCl6,Li,B,Cu,Cl,1,3,1,-1,92.0,27.0,77.0,52.0,181.0,5.581718688069791
Li2BCuBr6,Li,B,Cu,Br,1,3,1,-1,92.0,27.0,77.0,52.0,196.0,5.870180226531329
Li2BCuI6,Li,B,Cu,I,1,3,1,-1,92.0,27.0,77.0,52.0,220.00000000000003,6.331718688069792
Li2BRbF6,Li,B,Rb,F,1,3,1,-1,92.0,27.0,152.0,89.5,133.0,37.797640071228436
Li2BRbCl6,Li,B,Rb,Cl,1,3,1,-1,92.0,27.0,152.0,89.5,181.0,38.333952920390445
Li2BRbBr6,Li,B,Rb,Br,1,3,1,-1,92.0,27.0,152.0,89.5,196.0,38.50155068575357
Li2BRbI6,Li,B,Rb,I,1,3,1,-1,92.0,27.0,152.0,89.5,220.00000000000003,38.76970711033458
Li2BPdF6,Li,B,Pd,F,1,3,1,-1,92.0,27.0,59.0,43.0,133.0,4.906022653553924
Li2BPdCl6,Li,B,Pd,Cl,1,3,1,-1,92.0,27.0,59.0,43.0,181.0,6.022301723321366
Li2BPdBr6,Li,B,Pd,Br,1,3,1,-1,92.0,27.0,59.0,43.0,196.0,6.371138932623692
Li2BPdI6,Li,B,Pd,I,1,3,1,-1,92.0,27.0,59.0,43.0,220.00000000000003,6.929278467507414
Li2BAgF6,Li,B,Ag,F,1,3,1,-1,92.0,27.0,114.99999999999999,71.0,133.0,5.874131524954431
Li2BAgCl6,Li,B,Ag,Cl,1,3,1,-1,92.0,27.0,114.99999999999999,71.0,181.0,6.5501878629826
Li2BAgBr6,Li,B,Ag,Br,1,3,1,-1,92.0,27.0,114.99999999999999,71.0,196.0,6.761455468616403
Li2BAgI6,Li,B,Ag,I,1,3,1,-1,92.0,27.0,114.99999999999999,71.0,220.00000000000003,7.099483637630488
Li2BAuF6,Li,B,Au,F,1,3,1,-1,92.0,27.0,137.0,82.0,133.0,10.372170688162672
Li2BAuCl6,Li,B,Au,Cl,1,3,1,-1,92.0,27.0,137.0,82.0,181.0,10.957536541821208
Li2BAuBr6,Li,B,Au,Br,1,3,1,-1,92.0,27.0,137.0,82.0,196.0,11.140463371089501
Li2BAuI6,Li,B,Au,I,1,3,1,-1,92.0,27.0,137.0,82.0,220.00000000000003,11.43314629791877
Li2BHgF6,Li,B,Hg,F,1,3,1,-1,92.0,27.0,119.0,73.0,133.0,6.26988685758268
Li2BHgCl6,Li,B,Hg,Cl,1,3,1,-1,92.0,27.0,119.0,73.0,181.0,6.927421104158023
Li2BHgBr6,Li,B,Hg,Br,1,3,1,-1,92.0,27.0,119.0,73.0,196.0,7.132900556212817
Li2BHgI6,Li,B,Hg,I,1,3,1,-1,92.0,27.0,119.0,73.0,220.00000000000003,7.461667679500489
