comp,spin,VBM,CBM,bandgap,VBMtotcontr.A,VBMorbital.A,VBMorbchar.A,VBMorborder.A,VBMorbcontr.A,CBMtotcontr.A,CBMorbital.A,CBMorbchar.A,CBMorborder.A,CBMorbcontr.A,VBMtotcontr.B1,VBMorbital.B1,VBMorbchar.B1,VBMorborder.B1,VBMorbcontr.B1,CBMtotcontr.B1,CBMorbital.B1,CBMorbchar.B1,CBMorborder.B1,CBMorbcontr.B1,VBMtotcontr.B2,VBMorbital.B2,VBMorbchar.B2,VBMorborder.B2,VBMorbcontr.B2,CBMtotcontr.B2,CBMorbital.B2,CBMorbchar.B2,CBMorborder.B2,CBMorbcontr.B2,VBMtotcontr.X,VBMorbital.X,VBMorbchar.X,VBMorborder.X,VBMorbcontr.X,CBMtotcontr.X,CBMorbital.X,CBMorbchar.X,CBMorborder.X,CBMorbcontr.X,spin_vbm,spin_cbm,spin_forbidden,cond_type
2936_CsVRbBr,1,-2.75733,0.01475,2.77208,0.0,,,,0.0,0.0,,,,0.0,0.3024887205646189,3d,d,3.0,0.3022361821239966,0.8985660253388458,3d,d,3.0,0.8975767773103748,0.0,,,,0.0,0.0,,,,0.0,0.6958669412634899,4p,p,4.0,0.6956900082481227,0.1010697709601073,4p,p,4.0,0.1008124691551166,,,,semiconductor
2936_CsVRbBr,-1,-2.93428,1.09114,4.02542,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.9299273347049218,3d,d,3.0,0.9272637810223864,0.0,,,,0.0,0.0,,,,0.0,0.9968456008577534,4p,p,4.0,0.996632595435458,0.0698500143838386,4p,p,4.0,0.0691900240005886,,,,insulator
2936_CsVRbBr,combined,-2.75733,0.01475,2.77208,0.0,,,,0.0,0.0,,,,0.0,0.3024887205646189,3d,d,3.0,0.3022361821239966,0.8985660253388458,3d,d,3.0,0.8975767773103748,0.0,,,,0.0,0.0,,,,0.0,0.6958669412634899,4p,p,4.0,0.6956900082481227,0.1010697709601073,4p,p,4.0,0.1008124691551166,1.0,1.0,False,semiconductor
2937_CsAgNpBr,1,-4.44394,0.1919,4.63584,0.0,,,,0.0,0.0,,,,0.0,0.3375167519640277,4d,d,4.0,0.3362461700069887,0.3830485109214937,5s,s,5.0,0.3826941484821836,0.0577969176458814,6d,d,6.0,0.0272273476007933,0.413260069619255,7s,s,7.0,0.3004777410690943,0.604605062530135,4p,p,4.0,0.5922519120642538,0.1979503157931128,4s,s,4.0,0.166995460271433,,,,insulator
2937_CsAgNpBr,-1,-3.04006,0.0202,3.06026,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0325451676972262,5s,s,5.0,0.0320584477885259,0.8920732691320045,5f,f,5.0,0.8895469035566932,0.9336762015423372,5f,f,5.0,0.8913106972466237,0.099101990166551,4p,p,4.0,0.097748751079632,0.0334640636972428,4p,p,4.0,0.020033243783954,,,,semiconductor
2937_CsAgNpBr,combined,-3.04006,0.0202,3.06026,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0325451676972262,5s,s,5.0,0.0320584477885259,0.8920732691320045,5f,f,5.0,0.8895469035566932,0.9336762015423372,5f,f,5.0,0.8913106972466237,0.099101990166551,4p,p,4.0,0.097748751079632,0.0334640636972428,4p,p,4.0,0.020033243783954,-1.0,-1.0,False,semiconductor
2938_CsAgCeBr,1,-4.56719,0.00862,4.57581,0.0,,,,0.0,0.0,,,,0.0,0.1803268491700869,4d,d,4.0,0.1798551743562255,0.0100270160425324,5s,s,5.0,0.0094636421771575,0.491956313844626,4f,f,4.0,0.469671349238929,0.9450472248434252,4f,f,4.0,0.6386525991558856,0.3276492276106186,4p,p,4.0,0.3213228593420367,0.0447158171245606,4p,p,4.0,0.0396578206362114,,,,insulator
2938_CsAgCeBr,-1,-4.66198,0.04309,4.70507,0.0,,,,0.0,0.0,,,,0.0,0.3426866558696584,4d,d,4.0,0.3417450907096074,0.0730501204746603,5s,s,5.0,0.0719465699838094,0.0575371041924084,5d,d,5.0,0.0339733759384354,0.8300287291322249,5d,d,5.0,0.6623836675292831,0.599642121963314,4p,p,4.0,0.5864954376056392,0.0957516157505548,4p,p,4.0,0.0634201468905198,,,,insulator
2938_CsAgCeBr,combined,-4.56719,0.00862,4.57581,0.0,,,,0.0,0.0,,,,0.0,0.1803268491700869,4d,d,4.0,0.1798551743562255,0.0100270160425324,5s,s,5.0,0.0094636421771575,0.491956313844626,4f,f,4.0,0.469671349238929,0.9450472248434252,4f,f,4.0,0.6386525991558856,0.3276492276106186,4p,p,4.0,0.3213228593420367,0.0447158171245606,4p,p,4.0,0.0396578206362114,1.0,1.0,False,insulator
2939_CsCdAmBr,1,-0.68351,0.06309,0.7465999999999999,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.5343966719986916,5s,s,5.0,0.5342433549851027,0.9671278029992108,5f,f,5.0,0.9646324141597372,0.1821712755464473,7s,s,7.0,0.1204458458755168,0.0277613773493641,4p,p,4.0,0.0258789671967847,0.2807030096129768,4p,p,4.0,0.1635994746337001,,,,semiconductor
2939_CsCdAmBr,-1,-3.97486,0.36804,4.3429,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.5463759776097931,5s,s,5.0,0.5463027386152598,0.0172411207954265,6d,d,6.0,0.0063070444727539,0.1821924616149198,7s,s,7.0,0.1328476890481546,0.973542400126988,4p,p,4.0,0.972578269600993,0.2686615573749051,4p,p,4.0,0.1458685360048128,,,,insulator
2939_CsCdAmBr,combined,-0.68351,0.06309,0.7465999999999999,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.5343966719986916,5s,s,5.0,0.5342433549851027,0.9671278029992108,5f,f,5.0,0.9646324141597372,0.1821712755464473,7s,s,7.0,0.1204458458755168,0.0277613773493641,4p,p,4.0,0.0258789671967847,0.2807030096129768,4p,p,4.0,0.1635994746337001,1.0,1.0,False,semiconductor
2940_CsGePbBr,1,-1.53278,0.0302,1.56298,0.0,,,,0.0,0.0,,,,0.0,0.2437755158934202,4s,s,4.0,0.2009986432823892,0.3939683011716967,4p,p,4.0,0.3930285235385331,0.1731270792162013,6s,s,6.0,0.1048699347660436,0.4279811709758045,6p,p,6.0,0.427188153137409,0.5828310174143069,4p,p,4.0,0.5622014756627163,0.1775928690188142,4s,s,4.0,0.0981127849022792,,,,semiconductor
2940_CsGePbBr,-1,-1.53278,0.0302,1.56298,0.0,,,,0.0,0.0,,,,0.0,0.2437941010661694,4s,s,4.0,0.2009986432823892,0.3939663701217655,4p,p,4.0,0.3930265924886019,0.1731332742737843,6s,s,6.0,0.1048699347660436,0.4279850330756668,6p,p,6.0,0.4271933026038921,0.5827195063778118,4p,p,4.0,0.5620899646262212,0.1775948000687453,4s,s,4.0,0.0981102101690376,,,,semiconductor
2940_CsGePbBr,combined,-1.53278,0.0302,1.56298,0.0,,,,0.0,0.0,,,,0.0,0.2437755158934202,4s,s,4.0,0.2009986432823892,0.3939683011716967,4p,p,4.0,0.3930285235385331,0.1731270792162013,6s,s,6.0,0.1048699347660436,0.4279811709758045,6p,p,6.0,0.427188153137409,0.5828310174143069,4p,p,4.0,0.5622014756627163,0.1775928690188142,4s,s,4.0,0.0981127849022792,1.0,1.0,False,semiconductor
2941_CsNaYBr,1,-5.5216,0.0096,5.5312,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.8906870166680603,4d,d,4.0,0.8828429121042226,0.99428508146473,4p,p,4.0,0.993823376973442,0.1072786823012618,4p,p,4.0,0.1048430484654868,,,,insulator
2941_CsNaYBr,-1,-5.5216,0.0096,5.5312,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.8906778627868986,4d,d,4.0,0.8828313733038314,0.994283746754398,4p,p,4.0,0.993821922645044,0.1072797695438519,4p,p,4.0,0.1048436096229527,,,,insulator
2941_CsNaYBr,combined,-5.5216,0.0096,5.5312,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.8906870166680603,4d,d,4.0,0.8828429121042226,0.99428508146473,4p,p,4.0,0.993823376973442,0.1072786823012618,4p,p,4.0,0.1048430484654868,1.0,1.0,False,insulator
2942_CsKCuBr,1,-1.00144,4.62536,5.626799999999999,0.0,,,,0.0,0.0193855338236749,5s,s,5.0,0.0163552557802038,0.0,,,,0.0,0.4181598172762953,4s,s,4.0,0.4175661301494112,0.0256061893650255,3d,d,3.0,0.0255727157695722,0.2851780236815198,4s,s,4.0,0.2851615323724397,0.971121402081131,4p,p,4.0,0.9697780657216896,0.2771776773640291,4s,s,4.0,0.2135047330057059,,,,insulator
