comp,basisset#,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts
1591_CsPdPtCl,basisset0,0.755,True,0.0005,0.0
1592_CsCuErCl,basisset0,1.13,False,NaN,NaN
1593_CsMgAgCl,basisset0,0.635,True,0.0001,0.0
1594_CsTiPtCl,basisset0,0.74,False,NaN,NaN
1595_CsLiYCl,basisset0,0.67,False,NaN,NaN
1596_CsBeAmCl,basisset0,1.13,True,0.0005,0.0
1597_CsTlNCl,basisset0,0.82,True,0.003,0.0
1598_CsNaVCl,basisset0,0.525,True,0.0091,0.0
1599_CsAgThCl,basisset0,1.02,True,0.022,0.0
1600_CsEuPbCl,basisset0,1.025,False,NaN,NaN
1601_CsAuPrCl,basisset0,1.155,True,0.0027,0.0
1603_CsTlLuCl,basisset0,1.21,False,NaN,NaN
1604_CsCuTlCl,basisset0,0.855,True,0.0004,0.0
1605_CsKNdCl,basisset0,1.05,True,0.0,0.0
1606_CsLiErCl,basisset0,1.185,False,NaN,NaN
1607_CsKBCl,basisset0,0.82,True,0.0002,0.0
1608_CsVPdCl,basisset0,0.6,True,0.0004,0.0
1609_CsTiVCl,basisset0,0.625,True,0.0001,0.0
1610_CsTlYbCl,basisset0,1.235,False,NaN,NaN
1611_CsCoCdCl,basisset0,0.64,False,NaN,NaN
1612_CsAuPuCl,basisset0,0.81,True,0.3002,2.7778
1612_CsAuPuCl,basisset1,0.72,True,1.6853,2.7778
1613_CsSrPbCl,basisset0,0.92,False,NaN,NaN
1614_CsKPrCl,basisset0,1.055,True,0.0032,0.0
1615_CsBaHgCl,basisset0,0.85,True,0.0011,0.0
1616_CsRbAuCl,basisset0,0.605,False,NaN,NaN
1617_CsBaYbCl,basisset0,1.15,False,NaN,NaN
1618_CsLiTlCl,basisset0,0.61,True,0.0178,0.0
1619_CsFeCdCl,basisset0,0.65,True,0.0002,0.0
1620_CsBePbCl,basisset0,1.1,False,NaN,NaN
1621_CsAuBCl,basisset0,0.85,False,NaN,NaN
1622_CsLiTmCl,basisset0,1.205,False,NaN,NaN
1623_CsNaGaCl,basisset0,0.59,True,0.002,0.0
1624_CsNiCdCl,basisset0,0.635,True,0.0002,0.0
1625_CsFrCoCl,basisset0,0.86,True,0.0456,0.0
1626_CsCoAgCl,basisset0,0.635,False,NaN,NaN
1627_CsFeAgCl,basisset0,0.66,True,0.0001,0.0
1628_CsNaCrCl,basisset0,0.505,True,0.0003,0.0
1629_CsEuAmCl,basisset0,1.095,True,0.0,0.0
1630_CsFrAsCl,basisset0,1.02,True,0.0004,0.0
1631_CsFrNiCl,basisset0,0.8,True,0.0108,0.0
1632_CsBaTmCl,basisset0,1.145,False,NaN,NaN
1633_CsKPuCl,basisset0,0.74,False,NaN,NaN
1634_CsAuNpCl,basisset0,0.8,True,0.1309,1.3889
1634_CsAuNpCl,basisset1,0.725,True,0.0008,0.0
1635_CsTlTmCl,basisset0,1.235,False,NaN,NaN
1636_CsAuCeCl,basisset0,0.655,False,NaN,NaN
1637_CsRbLuCl,basisset0,1.12,False,NaN,NaN
1638_CsNaMnCl,basisset0,0.495,True,0.0,0.0
1639_CsCuLuCl,basisset0,1.08,True,0.0003,0.0
1640_CsNiAgCl,basisset0,0.625,True,0.0,0.0
1641_CsHgPCl,basisset0,1.34,False,NaN,NaN
1642_CsPdPaCl,basisset0,0.91,True,0.0858,0.0
1642_CsPdPaCl,basisset1,0.835,True,0.0495,0.0
1643_CsBeSrCl,basisset0,1.03,True,0.004,0.0
1645_CsLiYbCl,basisset0,1.215,True,0.0002,0.0
1646_CsRbYbCl,basisset0,1.135,False,NaN,NaN
1647_CsCrPdCl,basisset0,0.595,True,0.0,0.0
1648_CsTiCrCl,basisset0,0.645,True,0.0005,0.0
1649_CsSmEuCl,basisset0,1.155,True,0.0,0.0
1650_CsSrAmCl,basisset0,0.965,True,0.0005,0.0
1651_CsTlErCl,basisset0,1.215,False,NaN,NaN
1652_CsKNpCl,basisset0,0.735,False,NaN,NaN
1653_CsNdNpCl,basisset0,1.315,False,NaN,NaN
1654_CsKCeCl,basisset0,0.57,True,0.0001,0.0
1655_CsPdLaCl,basisset0,1.24,True,0.0025,0.0
1656_CsLiLuCl,basisset0,1.14,False,NaN,NaN
1657_CsPdBiCl,basisset0,0.97,True,0.0002,0.0
1658_CsBeEuCl,basisset0,1.18,False,NaN,NaN
1659_CsCuAuCl,basisset0,0.67,True,0.005,0.0
1660_CsAuUCl,basisset0,0.825,True,0.0017,0.0
1661_CsNaFeCl,basisset0,0.61,True,0.0958,0.0
1661_CsNaFeCl,basisset1,0.665,True,0.1899,1.3889
1662_CsFrFeCl,basisset0,0.87,True,0.0009,0.0
1663_CsPdUCl,basisset0,0.865,True,0.0927,0.0
1663_CsPdUCl,basisset1,0.795,True,0.4356,2.7778
1664_CsHgThCl,basisset0,1.15,True,0.0103,0.0
1665_CsTlYCl,basisset0,0.79,True,0.0,0.0
1666_CsAuBiCl,basisset0,0.95,True,0.0,0.0
1667_CsPbAmCl,basisset0,1.035,True,0.0,0.0
1668_CsSrSmCl,basisset0,0.99,True,0.0006,0.0
1669_CsRbTmCl,basisset0,1.13,False,NaN,NaN
1670_CsTlHoCl,basisset0,1.225,False,NaN,NaN
1671_CsAuLaCl,basisset0,1.26,True,0.0001,0.0
1672_CsLiAuCl,basisset0,0.645,True,0.0,0.0
1673_CsMnPdCl,basisset0,0.585,True,0.0001,0.0
1674_CsTiMnCl,basisset0,0.635,False,NaN,NaN
1675_CsRbTlCl,basisset0,0.59,True,0.1777,1.3889
1675_CsRbTlCl,basisset1,0.57,True,0.0004,0.0
1676_CsKUCl,basisset0,0.72,True,0.0,0.0
1677_CsRbErCl,basisset0,1.105,False,NaN,NaN
1678_CsSmPbCl,basisset0,1.025,True,0.0004,0.0
1679_CsAuPaCl,basisset0,1.16,True,0.023,0.0
1680_CsKBiCl,basisset0,0.86,True,0.0001,0.0
1681_CsKLaCl,basisset0,1.16,True,0.0,0.0
1682_CsTlDyCl,basisset0,1.245,False,NaN,NaN
1683_CsFrMnCl,basisset0,0.71,True,0.0032,0.0
1684_CsNaAsCl,basisset0,0.79,True,0.0,0.0
1685_CsZnPdCl,basisset0,0.64,True,0.0001,0.0
1686_CsPdCeCl,basisset0,0.625,True,0.0,0.0
1687_CsNaNiCl,basisset0,0.575,True,0.0014,0.0
1688_CsTiZnCl,basisset0,0.66,True,0.0001,0.0
1689_CsFrCrCl,basisset0,0.725,True,0.0017,0.0
1690_CsNaCoCl,basisset0,0.64,True,0.0181,0.0
1692_CsAgRaCl,basisset0,0.865,True,0.0009,0.0
1693_CsBaDyCl,basisset0,1.165,False,NaN,NaN
1694_CsRbYCl,basisset0,0.62,True,0.0002,0.0
1695_CsFrGaCl,basisset0,0.82,True,0.0139,0.0
1696_CsRbHoCl,basisset0,1.115,False,NaN,NaN
1697_CsCuPdCl,basisset0,0.625,True,0.0123,0.0
1698_CsTiGeCl,basisset0,0.72,False,NaN,NaN
1699_CsTiCuCl,basisset0,0.65,True,0.0,0.0
1700_CsAgPCl,basisset0,0.87,False,NaN,NaN
1701_CsPdPuCl,basisset0,0.79,True,0.0076,0.0
1702_CsGePdCl,basisset0,0.82,True,0.0,0.0
1703_CsVPtCl,basisset0,0.7,True,0.0001,0.0
1704_CsTlTbCl,basisset0,1.22,True,0.0,0.0
1705_CsCdRaCl,basisset0,0.88,True,0.002,0.0
1706_CsSmAmCl,basisset0,1.105,True,0.0007,0.0
1707_CsPdPrCl,basisset0,1.13,True,0.0001,0.0
1708_CsMgPdCl,basisset0,0.685,True,0.0002,0.0
1709_CsMgTiCl,basisset0,0.745,True,0.0003,0.0
1710_CsRbDyCl,basisset0,1.135,False,NaN,NaN
1711_CsTlGdCl,basisset0,1.2,True,0.0194,0.0
1712_CsFrVCl,basisset0,0.705,True,0.0,0.0
1713_CsCuInCl,basisset0,0.61,True,0.0018,0.0
1714_CsRbTbCl,basisset0,1.105,False,NaN,NaN
1715_CsCrPtCl,basisset0,0.725,False,NaN,NaN
1716_CsTlEuCl,basisset0,1.19,True,0.0021,0.0
1717_CsNaCuCl,basisset0,0.545,True,0.0131,0.0
