comp,lattice_a_primitive,lattice_a_conventional,distance_B1_X,distance_B1_A,size_Oh_B1,distance_B2_X,distance_B2_A,size_Oh_B2,calc_oct_mismatch
1115_CsHgTlCl,7.578763580631168,10.717990241747875,2.6322698278041177,4.6410259134336895,5.264539655608235,2.726725293069821,4.6410259134336895,5.453450586139642,0.026093
1116_CsZnAmCl,7.392762217007257,10.454944590691053,2.477784300805208,4.527123805348576,4.955568601610416,2.7496879945403183,4.527123805348576,5.499375989080637,0.075112
1117_CsGeSmCl,7.711052895009586,10.905075584298876,2.7770441547590554,4.722036243096128,5.55408830951811,2.6754936373903817,4.722036243096128,5.350987274780764,0.028053
1118_CsAuNiCl,6.97215143963632,9.860111124852782,2.587238472332462,4.269553359130033,5.174476944664925,2.342817090093929,4.269553359130033,4.685634180187857,0.06752
1119_CsAuAsCl,7.2609308562054515,10.26850689229904,2.628268481271652,4.446393913833283,5.256536962543302,2.505984964877867,4.446393913833283,5.011969929755736,0.03378
1120_CsHgSbCl,7.681035230772928,10.862624196424632,2.809861665532292,4.703654252933627,5.619723331064583,2.621450432680024,4.703654252933627,5.242900865360048,0.052047
1121_CsHgPdCl,7.235042829623844,10.231895694004256,2.6922717755729364,4.430540799940147,5.384543551145871,2.423676071429191,4.430540799940147,4.847352142858384,0.074198
1122_CsCaCdCl,7.469618754486373,10.563636148351057,2.6788499257385983,4.574188630403807,5.3576998514771965,2.602968148436929,4.574188630403807,5.205936296873858,0.020962
1123_CsCuSmCl,7.32168202174152,10.35442201453012,2.5053172233747407,4.483596253043963,5.0106344467494806,2.6718937838903187,4.483596253043963,5.343787567780638,0.046016
1124_CsAgInCl,7.339367622289568,10.37943323068388,2.657917774306237,4.494426427328315,5.315835548612472,2.5317988410357035,4.494426427328315,5.06359768207141,0.034839
1125_CsTlCoCl,7.303235320389706,10.328334439297338,2.91876340121936,4.472300001606601,5.83752680243872,2.245403818429309,4.472300001606601,4.4908076368586185,0.186011
1126_CsAuCoCl,6.994869211646095,9.892238906135908,2.6024953957077166,4.283465096509241,5.204990791415435,2.3436240573602367,4.283465096509241,4.687248114720472,0.071511
1127_CsVNdCl,7.315708863220482,10.345974692739464,2.44301696082422,4.479938455411639,4.88603392164844,2.7299703855455126,4.479938455411639,5.459940771091024,0.079269
1128_CsTlNiCl,7.266410929843548,10.27625688676084,2.825451322057612,4.4497497598748375,5.650902644115226,2.312677121322808,4.4497497598748375,4.625354242645614,0.14165
1129_CsGeBaCl,7.890370384795491,11.1586688103248,2.621082369043849,4.831845331079179,5.242164738087697,2.9582520361185507,4.831845331079179,5.916504072237103,0.093141
1131_CsTlAsCl,7.672458582430909,10.850494984019642,2.9431444793329016,4.698402149898318,5.886288958665801,2.4821030126769195,4.698402149898318,4.964206025353841,0.12736
1132_CsCuBaCl,7.574737153345805,10.712296013673006,2.40621024254736,4.6385602403498,4.812420485094718,2.949937764289144,4.6385602403498,5.89987552857829,0.150201
1133_CsHgErCl,7.704300719422577,10.895526566008202,2.869437681584648,4.717901396885666,5.7388753631692975,2.5783256014194533,4.717901396885666,5.156651202838905,0.080418
1134_CsTiSmCl,7.342875571777782,10.384394220426234,2.5088062404473463,4.49657459890071,5.017612480894693,2.6833908697657707,4.49657459890071,5.366781739531541,0.048228
1135_CsCrSrCl,7.456674922930485,10.545330806215643,2.460094519308292,4.566262184746693,4.920189038616583,2.8125708837995305,4.566262184746693,5.625141767599062,0.097369
1136_CsNaTbCl,7.54926358347748,10.676270945683164,2.723539449868112,4.622960928323667,5.4470788997362245,2.61459602297347,4.622960928323667,5.229192045946941,0.030095
1137_CsGeAmCl,7.613801822897291,10.767541799162345,2.646675816486008,4.662482367192695,5.293351632972016,2.737095083095164,4.662482367192695,5.474190166190327,0.024978
1138_CsCuAmCl,7.3049984164664705,10.330827833680866,2.481451850004003,4.473379673045494,4.962903700008006,2.68396206683643,4.473379673045494,5.36792413367286,0.055942
1139_CsTlPCl,7.554336596880605,10.683445270039964,2.9451677264871394,4.626067501897656,5.890335452974278,2.396554908532843,4.626067501897656,4.793109817065687,0.151551
1140_CsMgSmCl,7.37605380118285,10.431315322426409,2.484043376003024,4.5168920320535655,4.9680867520060445,2.7316142852101795,4.5168920320535655,5.4632285704203625,0.06839
1142_CsTeVacCl,7.373752946237001,10.428061422156937,2.5444385916938077,4.515483051906193,5.088877183387616,,,5.339184238769319,0.034573
1143_CsMnPbCl,7.499065869554775,10.60528065785355,2.47942419776483,4.5922212319824585,4.95884839552966,2.823216131161945,4.5922212319824585,5.64643226232389,0.09497
