CsHgAmCl,Cs,Hg,1,Am,3,Cl,1285
CsCaTiCl,Cs,Ca,2,Ti,2,Cl,1286
CsHgTiCl,Cs,Hg,1,Ti,3,Cl,1287
CsVDyCl,Cs,V,2,Dy,2,Cl,1288
CsNiEuCl,Cs,Ni,2,Eu,2,Cl,1289
CsCaPdCl,Cs,Ca,2,Pd,2,Cl,1290
CsHgRhCl,Cs,Hg,1,Rh,3,Cl,1291
CsCaEuCl,Cs,Ca,2,Eu,2,Cl,1292
CsCdSmCl,Cs,Cd,2,Sm,2,Cl,1293
CsTlTiCl,Cs,Tl,1,Ti,3,Cl,1294
CsNiRaCl,Cs,Ni,2,Ra,2,Cl,1295
CsDyNpCl,Cs,Dy,2,Np,2,Cl,1296
CsAuInCl,Cs,Au,1,In,3,Cl,1297
CsHgNdCl,Cs,Hg,1,Nd,3,Cl,1298
CsMnNpCl,Cs,Mn,2,Np,2,Cl,1299
CsAgUCl,Cs,Ag,1,U,3,Cl,1300
CsFeRaCl,Cs,Fe,2,Ra,2,Cl,1301
CsCoRaCl,Cs,Co,2,Ra,2,Cl,1302
CsTlIrCl,Cs,Tl,1,Ir,3,Cl,1303
CsTlRuCl,Cs,Tl,1,Ru,3,Cl,1304
CsHgPrCl,Cs,Hg,1,Pr,3,Cl,1305
CsCaSrCl,Cs,Ca,2,Sr,2,Cl,1306
CsKInCl,Cs,K,1,In,3,Cl,1307
CsAgBiCl,Cs,Ag,1,Bi,3,Cl,1308
CsAgLaCl,Cs,Ag,1,La,3,Cl,1309
CsZnNpCl,Cs,Zn,2,Np,2,Cl,1310
CsAgMoCl,Cs,Ag,1,Mo,3,Cl,1311
CsRbRhCl,Cs,Rb,1,Rh,3,Cl,1312
CsCrDyCl,Cs,Cr,2,Dy,2,Cl,1313
CsEuHgCl,Cs,Eu,2,Hg,2,Cl,1314
CsRbTiCl,Cs,Rb,1,Ti,3,Cl,1315
CsCaPbCl,Cs,Ca,2,Pb,2,Cl,1316
CsHgPuCl,Cs,Hg,1,Pu,3,Cl,1317
CsAgPaCl,Cs,Ag,1,Pa,3,Cl,1318
CsEuYbCl,Cs,Eu,2,Yb,2,Cl,1319
CsTlMoCl,Cs,Tl,1,Mo,3,Cl,1320
CsCuNpCl,Cs,Cu,2,Np,2,Cl,1321
CsAgIrCl,Cs,Ag,1,Ir,3,Cl,1322
CsHgVCl,Cs,Hg,1,V,3,Cl,1323
CsTmPtCl,Cs,Tm,2,Pt,2,Cl,1324
CsGeNpCl,Cs,Ge,2,Np,2,Cl,1325
CsAgRuCl,Cs,Ag,1,Ru,3,Cl,1326
CsMgRaCl,Cs,Mg,2,Ra,2,Cl,1327
CsRbIrCl,Cs,Rb,1,Ir,3,Cl,1328
CsSrHgCl,Cs,Sr,2,Hg,2,Cl,1329
CsEuTmCl,Cs,Eu,2,Tm,2,Cl,1330
CsRbRuCl,Cs,Rb,1,Ru,3,Cl,1331
CsHgCeCl,Cs,Hg,1,Ce,3,Cl,1332
CsSrYbCl,Cs,Sr,2,Yb,2,Cl,1333
CsMnDyCl,Cs,Mn,2,Dy,2,Cl,1334
CsVTmCl,Cs,V,2,Tm,2,Cl,1335
CsMgNpCl,Cs,Mg,2,Np,2,Cl,1336
CsYbPtCl,Cs,Yb,2,Pt,2,Cl,1337
CsPtHgCl,Cs,Pt,2,Hg,2,Cl,1338
CsKPCl,Cs,K,1,P,3,Cl,1339
CsAgTiCl,Cs,Ag,1,Ti,3,Cl,1340
CsNaInCl,Cs,Na,1,In,3,Cl,1341
CsAgRhCl,Cs,Ag,1,Rh,3,Cl,1342
CsRbMoCl,Cs,Rb,1,Mo,3,Cl,1343
CsCaAmCl,Cs,Ca,2,Am,2,Cl,1344
CsSrTmCl,Cs,Sr,2,Tm,2,Cl,1345
CsGeRaCl,Cs,Ge,2,Ra,2,Cl,1346
CsPdBaCl,Cs,Pd,2,Ba,2,Cl,1347
CsCuRaCl,Cs,Cu,2,Ra,2,Cl,1348
CsHgPbCl,Cs,Hg,2,Pb,2,Cl,1349
CsYbPbCl,Cs,Yb,2,Pb,2,Cl,1350
CsTiBaCl,Cs,Ti,2,Ba,2,Cl,1351
CsPdCdCl,Cs,Pd,2,Cd,2,Cl,1352
CsZnDyCl,Cs,Zn,2,Dy,2,Cl,1353
CsVYbCl,Cs,V,2,Yb,2,Cl,1354
CsAuPCl,Cs,Au,1,P,3,Cl,1355
CsHgGaCl,Cs,Hg,1,Ga,3,Cl,1356
CsTiCdCl,Cs,Ti,2,Cd,2,Cl,1357
CsCuPaCl,Cs,Cu,1,Pa,3,Cl,1358
CsVHgCl,Cs,V,2,Hg,2,Cl,1359
CsHgUCl,Cs,Hg,1,U,3,Cl,1360
CsHgCrCl,Cs,Hg,1,Cr,3,Cl,1361
CsTlNbCl,Cs,Tl,1,Nb,3,Cl,1362
CsCaSmCl,Cs,Ca,2,Sm,2,Cl,1363
CsHgBiCl,Cs,Hg,1,Bi,3,Cl,1364
CsZnRaCl,Cs,Zn,2,Ra,2,Cl,1365
CsTlTaCl,Cs,Tl,1,Ta,3,Cl,1366
