,bsites,xsite,icsd_a_lat_avg,icsd_a_lat_min,icsd_a_lat_max,a_lat_diff_min,a_lat_diff_max,sim_a_lat
CsGeF,"{'Ge', nan}",F,9.0083,8.99,9.0266,0.018299999999999983,0.018299999999999983,
CsNiF,"{'Ni', nan}",F,8.938,8.938,8.938,0.0,0.0,
CsMnF,"{nan, 'Mn'}",F,8.946,8.92,8.972,0.0259999999999998,0.0259999999999998,
CsGdNaI,"{'Na', 'Gd'}",I,12.2775,12.272,12.283,0.005499999999999616,0.005499999999999616,
CsNaNdI,"{'Nd', 'Na'}",I,12.386,12.386,12.386,0.0,0.0,12.238059763547676
CsDyNaI,"{'Dy', 'Na'}",I,12.18,12.135,12.225,0.04499999999999993,0.04499999999999993,
CsNaTbI,"{'Tb', 'Na'}",I,12.2575,12.247,12.268,0.010500000000000398,0.010500000000000398,
CsSnI,"{'Sn', nan}",I,11.639583333333334,11.6276,11.65,0.011983333333335011,0.010416666666666075,
CsTeI,"{'Te', nan}",I,11.6955,11.691,11.7,0.004499999999998394,0.0045000000000001705,
CsHfI,"{'Hf', nan}",I,11.61815,11.609,11.6273,0.009149999999999991,0.009149999999999991,
CsZrI,"{nan, 'Zr'}",I,11.6422,11.6422,11.6422,0.0,0.0,
CsPdI,"{'Pd', nan}",I,11.332,11.332,11.332,0.0,0.0,
CsPoI,"{'Po', nan}",I,11.79,11.79,11.79,0.0,0.0,
CsPtI,"{'Pt', nan}",I,11.2921,11.158,11.361,0.1341000000000001,0.06890000000000107,
