,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-581413,F-Hg-Ta,60,-347.81714880685996,-346.90690292404986,-1097.91845703125,-347.0084533691406
mp-27857,Br-Pd,24,-75.42303579706035,-75.43187971443363,-405.8081359863281,-75.5115966796875
mp-35311,Cr-F-Zn,8,-38.709061248676605,-38.729762804343245,-63.99327087402344,-38.61000061035156
mp-1393890,Cr-F-Zn,14,-71.47316997025675,-71.28902020058882,-117.88903045654297,-71.41526794433594
mp-1785896,Cr-F-Zn,15,-69.47113111010208,-69.49445222120539,-112.6353759765625,-69.5225830078125
mp-1396255,Cr-F-Zn,15,-69.17861332800075,-69.30013803892467,-112.19221496582031,-68.9425048828125
mp-1328934,Cr-F-Zn,28,-142.80283083751786,-142.4283570640295,-235.8334503173828,-142.75628662109375
mp-11980,Cs-F-Nb,8,-47.144412010154305,-47.06926791750684,-94.87470245361328,-47.17610549926758
mp-8995,Cs-F-Nb,9,-49.826615499439384,-49.86247301488227,-122.21016693115234,-49.78083038330078
mp-2743,Li-Pd,2,-7.943071136457245,-8.023600228465869,-26.169355392456055,-7.952425003051758
mp-2744,Li-Pd,2,-7.961639089866573,-7.954448886346425,-26.159299850463867,-7.9669294357299805
mp-728,Li-Pd,3,-10.142486585432072,-10.11254345292834,-28.782333374023438,-10.119327545166016
mp-976281,Li-Pd,4,-12.132395793303782,-12.101084139342861,-31.16522789001465,-12.155685424804688
mp-11489,Li-Pd,4,-12.136526540206528,-12.121784891693366,-31.233150482177734,-12.171648979187012
mp-861936,Li-Pd,4,-18.5349843399376,-18.53477893130917,-72.3084716796875,-18.613719940185547
mp-1079855,Li-Pd,8,-39.408187816267976,-39.55037128345556,-164.1195831298828,-39.60663604736328
mp-1197547,Li-Pd,38,-108.73185380774159,-109.08397532489523,-263.9903564453125,-108.87866973876953
mp-642690,Cs-Ge-I,5,-14.241635748750324,-14.222567638762403,-116.9695816040039,-14.225252151489258
mp-28377,Cs-Ge-I,5,-14.277526806305781,-14.248787995481777,-116.9661865234375,-14.253486633300781
mp-19734,F-Mg-Pb,8,-36.83210905414248,-36.797365305223174,-100.98330688476562,-36.68341827392578
mp-23443,I-Mn-Tl,20,-74.79984214724891,-74.84908254778854,-582.0970458984375,-74.86268615722656
mp-1185576,Cs-I-Yb,20,-60.44335420223248,-60.55825372698916,-571.373046875,-60.33931350708008
mp-23225,B-Br,8,-27.359839993457946,-27.43908828708377,-98.76395416259766,-27.26961326599121
mp-685043,B-Br,36,-161.9676734328215,-161.94893756716024,-385.96917724609375,-161.708251953125
mp-7903,Cs-F-Zr,9,-52.107258348529186,-52.06944701897823,-124.72882080078125,-52.148590087890625
mp-7921,F-Mg-Pd,8,-34.89022586465608,-34.83196396349459,-64.11943817138672,-34.83556365966797
mp-979988,Sm-Yb,4,-15.497167298169229,-15.472052873775965,-145.27915954589844,-15.395624160766602
mp-1187995,Sm-Yb,8,-17.87075395175664,-17.802449670442353,-286.5073547363281,-17.866798400878906
mp-981364,Sm-Yb,8,-30.985839145304862,-30.868915697711657,-290.56072998046875,-30.793926239013672
mp-1183367,Ba-Eu,4,-32.48325737169338,-32.51517154561136,-146.5099639892578,-32.40458297729492
mp-1183379,Ba-Eu,4,-32.52241416073611,-32.48221714673453,-146.65003967285156,-32.50756072998047
mp-1183350,Ba-Eu,4,-15.860643406824687,-15.836441413661746,-122.4525146484375,-15.641155242919922
mp-1183387,Ba-Eu,4,-32.48530171044848,-32.49196255131972,-146.65386962890625,-32.51150131225586
mp-1183388,Ba-Eu,8,-64.93336568210765,-65.01649121750069,-293.3111267089844,-65.04678344726562
mp-1185173,K-Ti,4,-7.685741991087162,-7.428982274497398,-27.766096115112305,-7.541231632232666
mp-1185189,K-Ti,8,-15.404504735951997,-15.284794521658355,-55.530723571777344,-15.191244125366211
mp-7755,Se,1,-3.2813371169621366,-3.2557483668399523,-14.014822006225586,-3.247854232788086
mp-119,Se,1,-2.8752705572966106,-2.9695960933613352,-13.732308387756348,-2.906224489212036
mp-1009757,Se,2,-6.7038298429441046,-6.622268336983981,-28.131052017211914,-6.658908843994141
mp-12771,Se,2,-6.015843921673399,-6.084348159432321,-27.450153350830078,-6.476109027862549
mp-14,Se,3,-10.405388941352516,-10.411244516247095,-42.68788146972656,-10.411519050598145
mp-1247808,Se,4,-13.325528273674323,-13.312531559250834,-56.57754135131836,-13.481870651245117
mp-147,Se,6,-20.863967189943217,-20.76220113552383,-85.89850616455078,-20.80797004699707
mp-542461,Se,32,-111.63459741746604,-111.14977689386203,-457.3528137207031,-111.09861755371094
mp-542605,Se,32,-111.51465214504367,-111.18516333390401,-457.1399841308594,-111.31192016601562
mp-570481,Se,64,-222.80136524501745,-222.53218925990578,-913.4088745117188,-222.5862274169922
mp-558694,Cs-F-Fe,5,-24.750081644414742,-24.839319665816205,-61.762367248535156,-24.9002628326416
